,cui,semtyp,Name
0,C0439663,Finding,Infected
1,C0868928,Functional Concept,Case (situation)
2,C5203670,Disease or Syndrome,COVID-19
3,C0008972,Research Activity,Clinical Research
4,C0034640,Natural Phenomenon or Process,Rain
5,C0027361,Population Group,Persons
6,C0332158,Functional Concept,Contact with
7,C0012634,Disease or Syndrome,Disease
8,C0242821,Human,Human body
9,C0442799,Qualitative Concept,Efficient
10,C0025664,Functional Concept,Methods aspects
11,C1280519,Qualitative Concept,Effectiveness
12,C1707391,Activity,Choose (action)
13,C0750572,Quantitative Concept,Estimated
14,C0870628,Functional Concept,guessing
15,C0456389,Spatial Concept,size
16,C0679083,Research Activity,Simulations
17,C0029224,Organic Chemical,Organic Chemicals
18,C0014499,Phenomenon or Process,Epidemic
19,C0332261,Qualitative Concept,Spreading (qualifier value)
20,C0021267,Occupational Activity,Industry
21,C1551377,Manufactured Object,holder
22,C0683887,Intellectual Product,new technology
23,C0080048,Finding,Privacy
24,C0035168,Research Activity,research
25,C1167395,Organism,Host (organism)
26,C3245505,Qualitative Concept,Potential
27,C1511726,Idea or Concept,Data
28,C1698986,Functional Concept,Storage
29,C1708476,Activity,Implementation
30,C0026531,Idea or Concept,Morality
31,C0002778,Laboratory Procedure,Analysis of substances
32,C1299586,Finding,Has difficulty doing (qualifier value)
33,C0035150,Organism Function,Reproduction
34,C0185023,Therapeutic or Preventive Procedure,Fixation - action
35,C0700271,Immunologic Factor,"M Protein, multiple myeloma"
36,C0086418,Human,Homo sapiens
37,C0034800,Receptor,"Receptors, Cell Surface"
38,C1422064,Gene or Genome,ACE2 gene
39,C5203676,Virus,SARS-CoV-2
40,C1175743,Virus,SARS coronavirus
41,C1414141,Gene or Genome,DPP4 gene
42,C3698360,Virus,Middle East Respiratory Syndrome Coronavirus
43,C0054943,Immunologic Factor,ALANINE AMINOPEPTIDASE
44,C0206419,Virus,Genus: Coronavirus
45,C0030705,Patient or Disabled Group,Patients
46,C0009488,Finding,Comorbidity
47,C0007634,Cell,Cells
48,C0684224,Intellectual Product,Report (document)
49,C2364111,Sign or Symptom,Ageusia
50,C0013378,Finding,Dysgeusia
51,C0949880,Virus,Human coronavirus 229E
52,C0205396,Qualitative Concept,Identified
53,C1428660,Gene or Genome,SLC6A19 gene
54,C0032594,Organic Chemical,Polysaccharides
55,C1449575,Laboratory Procedure,Microarray Analysis
56,C0040300,Tissue,Body tissue
57,C0227813,"Body Part, Organ, or Organ Component",Body of uterus
58,C0178566,Idea or Concept,concept
59,C1707903,Laboratory Procedure,Embedding
60,C1706077,Population Group,user - individual
61,C1516048,Activity,Assessed
62,C0007584,Laboratory Procedure,Cell Count
63,C1555715,Intellectual Product,entry - cluster
64,C1301808,Geographic Area,Geographic state
65,C0015737,Organization,Federal Government
66,C0037429,Intellectual Product,Social Policy
67,C0032661,Group Attribute,Population Characteristics
68,C0456984,Laboratory or Test Result,Test Result
69,C0557061,Therapeutic or Preventive Procedure,Discussion (procedure)
70,C3826426,Natural Phenomenon or Process,Dynamics
71,C0018104,Organization,Government
72,C0242961,Nucleotide Sequence,Replication Origin
73,C0936012,Research Activity,Analysis
74,C4684781,Qualitative Concept,Stochastic
75,C1280500,Qualitative Concept,Effect
76,C0332232,Qualitative Concept,Approximate
77,C0549193,Conceptual Entity,Parameter Value
78,C1711342,Quantitative Concept,Exponent
79,C0441889,Qualitative Concept,Levels (qualifier value)
80,C0454664,Geographic Area,Country
81,C0026336,Research Device,Study models
82,C1721104,Molecular Function,DNA Breaks
83,C3812881,Professional or Occupational Group,Author
84,C0042655,Manufactured Object,videocassette
85,C0008902,Classification,Classification
86,C0150098,Intellectual Product,Data Set
87,C0005891,Mental Process,Body Image
88,C0032285,Disease or Syndrome,Pneumonia
89,C0439241,Quantitative Concept,deciliter
90,C0035173,Professional or Occupational Group,Research Personnel
91,C0442726,Finding,Detected (finding)
92,C0027882,Cell,Neurons
93,C2347946,Qualitative Concept,Relevance
94,C1879547,Activity,Activation action
95,C0001283,Medical Device,Activator Appliances
96,C0681842,Idea or Concept,Prediction
97,C0023185,Mental Process,Learning
